Site,y,x
a,42.606296,-76.499608
b,42.551654,-76.6565485
c,43.26889,-77.207448
d,42.444466,-76.458911
e,42.57358,-76.594918
f,42.657491,-76.472401
g,42.470907,-76.550609
h,43.205938,-77.106478
i,43.16944,-77.123783
j,43.276893,-77.092758
k,42.351339,-76.565635
l,43.216262,-77.224834
m,43.218674,-77.210935
n,43.27062,-77.145432
o,42.54435,-76.523711
p,43.19781,-76.926673
q,42.377185,-76.925584
r,43.141863,-76.977996
s,43.203951,-76.994519
t,42.444537,-76.53547
