Common name,Hydroxychlorothalonil ,Acephate,Acetamiprid,Ametryn,Amitraz,Atrazine,Avermectin B1a,Azoxystrobin,Bendiocarb,Boscalid,Bromuconazole,Carbaryl,Carbofuran,Chlorantraniliprole,Chlorpyrifos,Clomazone,Clothianidin,Coumaphos,Cyanazine,Cyantraniliprole,Cyflufenamid,Cyprodinil,Cyromazine,Difenoconazole,Diflubenzuron,Dimoxystrobin,Dinotefuran,Diuron,Fenamidone,Fenbuconazole,Fenhexamid,Fenpyroximate,Fipronil,Fluazifop,Fluazinam,Fludioxonil,Flufenacet,Flumioxazin,Fluometuron,Fluopicolide,Fluopyram,Fluoxastrobin,Flupyradifurone,Fluxapyroxad,Fumagillin,Hexaflumuron,Imidacloprid,Indoxacarb,Malaoxon,Mandipropamid,Metalaxyl,Metazachlor,Metconazole,Methiocarb,Methoprotryne,Methoxyfenozide,Metobromuron,Metolachlor,Mevinphos,Myclobutanil,Napropamide,Penthiopyrad,Phenmedipham,Phosmet,Picoxystrobin,Piperonyl butoxide,Profenophos,Prometon,Prometryn,Propazine,Propiconazole,Pyraclostrobin,Pyrimethanil,Spinetoram,Spinosad,Spirotetramat,Sulfentrazone,Sulfoxaflor,Tebuconazole,Tebufenozide,Tebuthiuron,Terbutryn,Tetraconazole,Tetramethrin,Thiabendazole,Thiacloprid,Thiamethoxam,Thiobencarb,Thiophanate-methyl,Triadimefon,Trifloxystrobin,Triflumizole
Honey bee contact LD50 (ppb),1350000,12000,125000,1000000,500000,970000,35,2000000,4300,2000000,5000000,2320,1600,7060,100,1000000,275,203000,1934000,900,1000000,1000000,350000,1000000,25800,1000000,240,1450000,471000,2920000,2070000,110000,60,630000,1430000,500000,250000,1050000,1934000,1000000,1000000,2000000,1000000,1000000,NA,583000,430,1180,2000,2000000,1410000,NA,1000000,2900,NA,1000000,NA,1100000,700,396000,NA,3120000,2417000,660,2000000,110000,950,360000,966900,1000000,500000,1000000,1000000,240,30,2420000,250000,1300,2000000,2340000,1000000,1600,630000,1550,40000,378300,235,NA,1000000,500000,2000000,1400000
Honey bee oral LD50 (ppb),630000,2300,102100,NA,NA,NA,NA,250000,5200,1660000,1000000,1500,NA,274,510,853000,37,46000,NA,1100,1000000,1000000,200000,1770000,1000000,790000,76,NA,1590000,NA,17000,1185000,10,1800000,1000000,3290000,NA,NA,NA,2410000,1023000,8430000,1080000,1109000,NA,568000,39,2600,3800,2000000,2690000,NA,870000,4700,NA,1000000,NA,1100000,NA,340000,1135000,3850000,NA,1500,2000000,NA,NA,NA,NA,NA,770000,730000,1000000,1400,570,1950000,NA,515,830000,NA,NA,12200,1300000,NA,340000,173200,32,NA,1000000,NA,2000000,NA
