bee.name,Sample.type
Melandrena sp.,Andrena (Melandrena)
Andrena sp.,Andrena sp.
A. mellifera,Apis mellifera worker
B. impatiens queen,Bombus impatiens queen
B. impatiens worker,Bombus impatiens worker
X. virginica,Xylocopa virginica
Dandelion flower,Dandelion flower
Apple flower,Apple flower
